TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,AccountBalance,Cluster
40.32,Debit,Milwaukee,Branch,37.0,Engineer,95.0,2686.52,0
127.45,Debit,Las Vegas,Online,44.0,Doctor,197.0,1772.06,1
56.17,Debit,Detroit,Branch,27.0,Student,283.0,1351.69,1
28.31,Credit,Miami,Online,59.0,Doctor,20.0,8334.47,0
59.12,Debit,Baltimore,ATM,29.0,Doctor,257.0,9823.64,1
396.45,Debit,New York,ATM,49.0,Engineer,168.00000000000003,9690.15,0
877.81,Debit,Los Angeles,Online,22.0,Student,150.0,399.0,1
255.26000000000002,Credit,San Francisco,Branch,45.0,Doctor,50.00000000000001,14815.87,0
124.76,Debit,Seattle,Branch,49.0,Engineer,45.0,5764.72,0
78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,900.61,0
649.28,Debit,San Jose,ATM,75.0,Retired,137.0,4875.86,0
795.31,Debit,Mesa,ATM,66.0,Doctor,90.0,7914.879999999999,0
335.63,Debit,Oklahoma City,Online,55.0,Retired,215.99999999999997,1019.39,0
328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,4323.66,0
34.02,Debit,Philadelphia,Online,38.0,Doctor,18.999999999999996,14214.48,0
241.41999999999996,Credit,Charlotte,Online,57.0,Doctor,116.00000000000001,13357.02,1
55.32,Debit,Tucson,ATM,19.0,Student,117.0,241.79000000000002,0
304.31,Debit,Louisville,Branch,27.0,Student,33.0,868.61,1
435.27,Debit,Chicago,Branch,74.0,Retired,90.0,4673.28,1
164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1509.27,1
510.24,Debit,Oklahoma City,Online,19.0,Student,105.0,781.7,0
626.9,Debit,Denver,Online,26.0,Student,138.0,265.51,1
22.01,Credit,Sacramento,Online,41.0,Engineer,175.0,1335.09,0
425.34,Credit,Kansas City,Online,69.0,Retired,121.0,3907.5399999999995,1
424.56,Debit,Omaha,Online,51.0,Engineer,264.0,5183.85,0
85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,14904.9,0
169.5,Debit,San Diego,Branch,28.0,Student,142.0,918.8799999999999,0
104.63,Debit,Omaha,ATM,62.0,Retired,90.0,4477.78,0
316.95,Debit,Mesa,Branch,25.0,Student,83.0,1324.03,0
60.54,Credit,Columbus,Branch,57.0,Retired,52.00000000000001,3534.93,1
292.56,Credit,Dallas,Branch,68.0,Retired,61.00000000000001,4638.37,1
386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,5630.61,1
112.07,Debit,Kansas City,Branch,23.0,Student,51.00000000000001,930.3,1
568.52,Debit,Indianapolis,ATM,46.0,Engineer,151.99999999999997,5499.91,1
263.99,Debit,Dallas,Branch,79.0,Retired,227.0,4175.02,1
349.64,Debit,Las Vegas,Online,48.0,Engineer,226.0,6651.62,1
601.4,Credit,Philadelphia,Branch,56.0,Engineer,104.0,8458.29,0
5.77,Debit,Charlotte,Online,50.0,Doctor,123.99999999999999,13988.12,1
201.33,Credit,Nashville,Branch,42.0,Engineer,186.0,2585.07,0
298.42,Debit,Indianapolis,Branch,56.0,Retired,225.0,3014.75,1
521.06,Debit,Albuquerque,Branch,25.0,Student,128.0,1951.42,1
117.27999999999999,Credit,Austin,Online,60.0,Engineer,16.0,3665.77,1
189.12,Credit,Indianapolis,Branch,32.0,Engineer,103.0,977.01,1
133.55,Debit,Atlanta,ATM,44.0,Engineer,220.0,3846.2800000000007,1
143.21,Debit,Dallas,Online,35.0,Engineer,135.0,6374.82,1
24.77,Debit,Boston,ATM,62.0,Retired,55.0,5866.01,1
233.91999999999996,Credit,Jacksonville,Online,26.0,Student,280.0,6537.62,1
913.49125,Debit,Indianapolis,Branch,20.0,Student,24.0,605.9499999999999,1
232.12000000000003,Debit,Omaha,ATM,37.0,Engineer,51.00000000000001,6689.87,0
162.63,Debit,Kansas City,Online,22.0,Student,113.0,634.17,1
91.53,Debit,Milwaukee,Branch,44.0,Doctor,69.00000000000001,14676.05,0
120.29,Debit,Miami,Branch,19.0,Student,77.0,1362.39,0
174.25,Debit,Seattle,Online,50.0,Doctor,67.0,10528.34,0
183.71,Debit,Denver,ATM,38.0,Engineer,102.0,552.52,1
345.39,Credit,Phoenix,Online,58.0,Engineer,80.0,6451.96,0
913.49125,Debit,Detroit,ATM,63.0,Retired,87.0,4715.84,1
259.91,Debit,Denver,Online,49.0,Doctor,170.0,7176.86,1
154.71,Debit,San Diego,Online,34.0,Doctor,157.0,1523.72,0
913.49125,Credit,Austin,Online,54.0,Engineer,30.0,8654.28,1
24.56,Debit,Mesa,Branch,64.0,Doctor,69.00000000000001,9869.93,0
568.07,Debit,Washington,ATM,48.0,Doctor,115.0,10556.81,0
9.61,Credit,San Diego,Online,58.0,Doctor,179.0,12883.91,0
392.96,Debit,Kansas City,Online,24.0,Student,100.00000000000001,791.65,1
716.93,Credit,Milwaukee,Online,60.0,Retired,34.0,4064.02,0
223.85,Debit,Kansas City,ATM,53.0,Engineer,55.0,2929.91,1
230.66,Debit,Houston,Branch,21.0,Student,135.0,618.05,1
442.12,Debit,Los Angeles,Online,19.0,Student,260.0,1375.8,1
644.17,Debit,San Antonio,ATM,29.0,Engineer,72.0,1143.52,0
508.68000000000006,Credit,Mesa,Branch,51.0,Engineer,127.0,7708.41,0
858.63,Credit,San Francisco,Branch,27.0,Student,185.0,1872.96,0
25.36,Debit,Louisville,ATM,57.0,Engineer,78.0,201.04,1
147.62,Debit,Charlotte,Branch,71.0,Retired,133.0,2115.8,1
115.01999999999998,Debit,San Antonio,Branch,37.0,Doctor,175.0,7643.66,0
383.37,Debit,Fort Worth,Branch,30.0,Engineer,24.0,8901.93,1
98.54,Credit,El Paso,Online,20.0,Student,167.0,9383.43,1
83.24,Credit,Fort Worth,Branch,55.0,Doctor,164.0,1181.31,1
196.16,Debit,Virginia Beach,Branch,27.0,Engineer,146.0,9418.86,0
129.94,Debit,Las Vegas,ATM,32.0,Engineer,235.0,7954.919999999999,1
306.9,Debit,Colorado Springs,Online,46.0,Engineer,51.00000000000001,9418.08,1
114.98,Debit,Seattle,Online,59.0,Retired,80.0,6144.68,0
756.59,Debit,Sacramento,Branch,27.0,Student,17.0,420.65,0
503.75999999999993,Debit,Los Angeles,Online,22.0,Student,35.0,447.82,1
143.03,Debit,San Antonio,ATM,63.0,Retired,147.0,7981.450000000001,0
913.49125,Debit,Columbus,ATM,53.0,Retired,73.0,1829.9,1
245.54,Debit,New York,ATM,25.0,Student,180.0,985.0600000000001,0
254.37,Credit,Dallas,Online,51.0,Engineer,174.0,8849.26,1
213.76,Credit,Dallas,ATM,78.0,Retired,282.0,3528.72,1
327.86,Debit,Fresno,Online,40.0,Engineer,104.0,480.16,1
2.5,Debit,San Diego,Online,47.0,Doctor,107.0,12145.27,0
300.08,Credit,Austin,Online,68.0,Doctor,47.0,13546.75,1
56.98,Credit,Oklahoma City,ATM,43.0,Engineer,122.0,5688.37,0
407.65,Debit,Boston,Online,26.0,Engineer,61.99999999999999,8346.64,1
115.83,Debit,Fresno,Branch,39.0,Engineer,167.0,6481.04,1
53.57,Debit,Houston,ATM,69.0,Retired,121.0,1651.33,1
63.34,Credit,Detroit,Online,46.0,Doctor,165.0,11174.94,1
317.87,Debit,Detroit,Online,27.0,Student,91.0,145.5,1
331.65,Debit,Portland,Online,41.0,Engineer,61.00000000000001,4172.57,0
5.04,Debit,Washington,ATM,56.0,Retired,41.0,5558.36,0
214.54,Credit,Detroit,Online,70.0,Doctor,247.0,11151.53,1
598.81,Debit,Philadelphia,Branch,57.0,Doctor,158.0,1415.52,0
841.28,Debit,Tucson,Online,26.0,Student,80.0,1103.64,0
38.15,Debit,Mesa,Online,26.0,Student,107.99999999999999,303.68,0
913.49125,Debit,San Antonio,Branch,58.0,Doctor,144.0,5541.57,0
124.71999999999998,Debit,Oklahoma City,Branch,33.0,Engineer,105.0,6309.8,0
302.45,Credit,San Antonio,Branch,78.0,Retired,40.0,5133.61,0
208.04,Debit,Louisville,Online,47.0,Engineer,273.0,9344.98,1
5.77,Credit,Los Angeles,Branch,23.0,Student,254.0,1117.97,1
381.33,Debit,Albuquerque,ATM,56.0,Doctor,75.0,11835.35,1
16.16,Debit,Milwaukee,ATM,50.0,Doctor,123.99999999999999,14401.17,0
486.08,Debit,Oklahoma City,Online,18.0,Student,68.00000000000001,1748.69,0
336.39,Debit,San Antonio,Branch,21.0,Student,18.0,1000.46,0
913.49125,Debit,Seattle,Online,69.0,Doctor,118.0,6810.05,0
234.56999999999996,Debit,Chicago,Online,23.0,Student,120.0,263.98,1
6.0,Debit,Chicago,Online,30.0,Doctor,246.0,5442.76,1
913.49125,Debit,Detroit,ATM,80.0,Retired,21.000000000000004,2037.85,1
227.14,Debit,Charlotte,ATM,18.0,Student,294.0,341.94,1
233.74,Credit,Oklahoma City,Online,66.0,Retired,17.0,1066.59,0
113.02,Credit,Jacksonville,Branch,69.0,Retired,166.0,6077.96,1
45.85,Debit,Los Angeles,ATM,20.0,Student,91.99999999999999,1659.15,1
913.49125,Debit,Sacramento,Branch,77.0,Retired,296.0,2042.22,0
514.95,Debit,New York,Online,41.0,Doctor,142.0,421.93,0
415.5,Debit,Memphis,ATM,66.0,Doctor,141.0,10113.66,0
265.76,Debit,Philadelphia,Online,54.0,Retired,91.99999999999999,4446.17,0
69.4,Debit,Virginia Beach,Online,80.0,Retired,113.0,6452.77,0
332.93,Credit,Albuquerque,Branch,35.0,Engineer,293.0,2788.2,1
267.9,Debit,San Antonio,Online,20.0,Student,160.0,596.1599999999999,0
496.03,Debit,San Francisco,Branch,61.0,Doctor,265.0,12904.66,0
376.26,Debit,Tucson,ATM,37.0,Engineer,245.0,9062.4,0
83.02,Credit,Seattle,Online,36.0,Engineer,171.0,9009.56,0
93.26,Credit,New York,Online,20.0,Student,72.0,1152.2,0
803.37,Credit,Memphis,Branch,68.0,Doctor,129.0,12168.37,0
35.76,Debit,Charlotte,Branch,23.0,Student,122.0,611.8599999999999,1
28.53,Debit,Washington,Online,62.0,Doctor,99.0,8670.53,0
139.53,Credit,Louisville,Online,53.0,Doctor,177.0,10098.86,1
307.57,Debit,Detroit,Branch,33.0,Doctor,285.0,5307.74,1
60.65,Credit,Tucson,Branch,56.0,Retired,53.00000000000001,1047.28,0
74.86,Debit,Nashville,Branch,70.0,Doctor,125.0,6921.48,0
117.97,Debit,Kansas City,Branch,51.0,Retired,137.0,1475.46,1
231.91,Debit,Memphis,ATM,34.0,Engineer,165.0,112.76,0
126.21,Debit,Baltimore,Branch,75.0,Retired,268.0,5669.66,1
506.2799999999999,Credit,Chicago,Online,53.0,Retired,162.0,1309.95,1
304.35,Debit,Houston,Branch,31.0,Engineer,36.0,4057.1,1
281.85,Debit,Detroit,ATM,22.0,Student,109.0,1585.98,1
777.88,Debit,Houston,Branch,31.0,Engineer,17.0,6825.55,1
119.17999999999999,Debit,Los Angeles,Branch,56.0,Retired,96.0,5516.5,1
177.19,Debit,Chicago,Online,76.0,Retired,43.0,5343.3,1
260.88,Debit,Denver,Branch,22.0,Student,36.0,903.05,1
169.47,Debit,Chicago,Online,24.0,Student,18.999999999999996,1806.16,1
73.23,Debit,Portland,Branch,26.0,Student,14.0,787.7399999999999,0
913.49125,Debit,El Paso,ATM,29.0,Engineer,106.0,2429.68,1
792.57,Debit,Baltimore,ATM,19.0,Student,164.0,770.37,1
237.06,Debit,Phoenix,Online,71.0,Retired,45.99999999999999,1182.77,0
34.17,Credit,Philadelphia,Online,54.0,Engineer,53.99999999999999,726.55,0
740.25,Debit,Philadelphia,Online,41.0,Doctor,123.0,14464.3,0
453.54,Debit,Albuquerque,ATM,58.0,Doctor,82.0,12046.3,1
300.47,Debit,Jacksonville,Branch,73.0,Retired,100.00000000000001,7885.64,1
110.93,Credit,Virginia Beach,Branch,19.0,Student,201.0,1952.3499999999997,0
201.69,Debit,Las Vegas,ATM,59.0,Doctor,299.0,7328.52,1
399.21,Debit,Portland,ATM,59.0,Engineer,109.0,3210.39,0
913.49125,Debit,Jacksonville,Online,78.0,Retired,57.0,5726.2,1
630.36,Debit,Mesa,ATM,62.0,Retired,52.00000000000001,1363.65,0
10.94,Credit,Philadelphia,ATM,60.0,Engineer,245.0,1241.99,0
215.9,Debit,Los Angeles,ATM,38.0,Doctor,235.0,7873.280000000001,1
913.49125,Debit,Washington,Branch,79.0,Retired,165.0,5674.32,0
226.37,Credit,Louisville,Branch,49.0,Doctor,141.0,9840.04,1
444.89,Credit,Las Vegas,Branch,43.0,Doctor,101.0,10328.23,1
280.57,Credit,Virginia Beach,Online,25.0,Student,24.0,293.24,0
488.54,Debit,Jacksonville,Branch,52.0,Engineer,132.0,7486.63,1
3.3,Credit,Los Angeles,Branch,50.0,Doctor,131.0,11385.37,1
199.39,Debit,Colorado Springs,Branch,69.0,Retired,165.0,7264.79,1
20.36,Debit,Tucson,Branch,62.0,Retired,75.0,2762.48,0
113.64,Debit,Detroit,Online,62.0,Retired,32.0,6675.03,1
493.11,Debit,Colorado Springs,Branch,53.0,Retired,236.0,7432.99,1
307.41,Debit,Los Angeles,ATM,19.0,Student,14.0,1057.0,1
11.18,Debit,Atlanta,Online,43.0,Doctor,161.0,5956.89,1
313.82,Debit,Tucson,Branch,59.0,Engineer,151.0,7261.59,0
51.0,Debit,Seattle,Branch,64.0,Retired,107.0,4943.16,0
140.98,Debit,Memphis,Branch,60.0,Engineer,100.00000000000001,8127.4800000000005,0
288.04,Debit,Denver,ATM,68.0,Retired,63.0,1748.02,1
800.55,Debit,Oklahoma City,ATM,31.0,Engineer,107.99999999999999,9660.22,0
485.5400000000001,Debit,Houston,ATM,46.0,Engineer,143.0,6371.51,1
521.15,Debit,Kansas City,ATM,54.0,Doctor,214.0,9442.47,1
321.79,Credit,Raleigh,ATM,63.0,Retired,61.00000000000001,5959.2,0
304.93,Debit,Portland,ATM,65.0,Doctor,158.0,13531.22,0
432.08,Debit,El Paso,ATM,40.0,Doctor,145.0,11500.62,1
694.2,Debit,Milwaukee,ATM,61.0,Retired,72.0,1389.37,0
116.86000000000001,Debit,Louisville,ATM,55.0,Engineer,171.0,6706.56,1
386.81,Credit,Detroit,Online,57.0,Doctor,149.0,7175.29,1
74.88,Debit,Atlanta,ATM,25.0,Student,202.0,420.67,1
195.76,Debit,Philadelphia,Branch,75.0,Retired,99.0,7323.53,0
134.7,Debit,Fort Worth,ATM,50.0,Doctor,106.0,8395.85,1
890.24,Credit,Las Vegas,Online,33.0,Engineer,161.0,5140.93,1
361.27,Debit,Omaha,ATM,63.0,Doctor,180.0,7945.57,0
131.56,Debit,Charlotte,Branch,44.0,Doctor,42.00000000000001,5873.54,1
485.51,Credit,Milwaukee,Online,76.0,Retired,37.0,3074.45,0
547.87,Debit,Columbus,ATM,64.0,Retired,131.0,6155.76,1
457.30000000000007,Debit,Virginia Beach,Online,28.0,Engineer,15.0,8318.29,0
506.24000000000007,Debit,Chicago,ATM,58.0,Engineer,64.0,230.09,1
486.59,Debit,Indianapolis,Branch,57.0,Retired,119.0,2513.56,1
163.68,Debit,San Diego,Branch,41.0,Doctor,292.0,10090.05,0
581.65,Debit,Boston,ATM,22.0,Student,176.0,480.19000000000005,1
52.01,Debit,Mesa,ATM,48.0,Doctor,85.0,1120.88,0
630.24,Debit,Boston,ATM,21.0,Student,61.99999999999999,370.81,1
523.74,Debit,Oklahoma City,ATM,43.0,Doctor,159.0,13498.55,0
705.6,Debit,Phoenix,Branch,40.0,Doctor,123.99999999999999,14804.7,0
217.5,Credit,Denver,Branch,46.0,Engineer,35.0,3057.4,1
91.48,Debit,Fort Worth,ATM,51.0,Doctor,141.0,14942.779999999999,1
5.25,Debit,San Jose,ATM,39.0,Doctor,49.0,14143.32,0
54.03,Credit,Milwaukee,ATM,56.0,Retired,161.0,6736.3,0
736.73,Debit,Memphis,Branch,48.0,Engineer,10.0,3313.07,0
368.91,Debit,Virginia Beach,Branch,54.0,Doctor,14.0,829.7099999999999,0
33.06,Credit,Fort Worth,Online,53.0,Retired,170.0,1540.87,1
66.5,Credit,Louisville,Online,32.0,Engineer,144.0,6820.23,1
177.08,Debit,Las Vegas,Online,35.0,Doctor,85.0,13475.14,1
588.54,Debit,Portland,Branch,32.0,Engineer,130.0,714.4499999999999,0
173.5,Debit,Nashville,ATM,21.0,Student,282.0,1306.91,0
78.33,Credit,Memphis,Online,56.0,Engineer,189.0,7255.33,0
40.66,Debit,Louisville,Branch,59.0,Retired,156.0,1153.84,1
97.22,Credit,Atlanta,Branch,77.0,Retired,55.0,6647.73,1
34.07,Debit,Philadelphia,Branch,22.0,Student,81.0,8709.77,0
492.06,Debit,Fresno,Online,23.0,Student,74.0,857.9,1
842.01,Credit,Virginia Beach,Online,53.0,Doctor,185.0,509.45000000000005,0
73.55,Debit,Atlanta,ATM,51.0,Engineer,158.0,2812.06,1
760.53,Debit,Phoenix,Online,57.0,Engineer,118.0,6179.91,0
273.08,Credit,Houston,Branch,26.0,Engineer,134.0,6609.3,1
371.69,Debit,San Francisco,Branch,67.0,Retired,143.0,3484.32,0
218.96,Debit,Seattle,ATM,18.0,Student,13.0,754.21,0
227.39,Debit,Atlanta,Online,18.0,Student,65.0,751.09,1
237.99,Credit,Kansas City,Branch,39.0,Doctor,86.0,8510.09,1
186.6,Debit,Washington,Online,58.0,Doctor,13.0,1508.72,0
341.15,Debit,San Jose,Online,18.0,Student,148.0,511.36999999999995,0
434.58,Debit,Memphis,ATM,59.0,Doctor,215.0,12648.32,0
312.88,Credit,Portland,Branch,54.0,Engineer,44.0,233.21,0
75.15,Debit,Boston,ATM,23.0,Student,154.0,1092.92,1
23.3,Debit,Los Angeles,ATM,59.0,Engineer,161.0,6711.15,1
47.38,Credit,Seattle,Online,25.0,Student,61.00000000000001,459.37,0
512.81,Debit,Sacramento,Branch,79.0,Retired,30.0,6994.34,0
488.15000000000003,Debit,Louisville,Branch,43.0,Engineer,168.00000000000003,7071.09,1
12.82,Debit,Fort Worth,ATM,44.0,Engineer,156.0,9045.19,1
66.9,Credit,Charlotte,Online,79.0,Retired,129.0,5238.71,1
535.91,Debit,Las Vegas,Online,43.0,Engineer,22.0,9642.12,1
270.72,Credit,Washington,Online,26.0,Engineer,53.00000000000001,6263.96,0
97.98,Debit,Denver,Branch,72.0,Retired,18.0,7460.329999999999,1
196.08,Debit,San Francisco,Online,61.0,Retired,98.0,4233.82,0
251.18000000000004,Debit,San Jose,ATM,42.0,Engineer,246.0,8303.9,0
44.52,Debit,El Paso,Online,28.0,Student,205.0,314.28,1
178.87,Debit,Baltimore,Online,35.0,Doctor,180.0,5241.23,1
913.49125,Credit,Kansas City,ATM,54.0,Engineer,174.0,323.69,1
386.68,Debit,New York,Branch,46.0,Doctor,128.0,6863.06,0
167.14,Debit,Denver,Online,76.0,Retired,20.0,3877.7299999999996,1
345.22,Debit,Fresno,Branch,69.0,Retired,253.0,4046.5800000000004,1
74.85,Debit,Raleigh,ATM,72.0,Retired,117.0,2409.73,0
671.73,Debit,Washington,Branch,58.0,Engineer,53.99999999999999,5211.88,0
255.03999999999996,Debit,Seattle,ATM,45.0,Engineer,151.99999999999997,6217.86,0
45.77,Debit,Philadelphia,Online,25.0,Student,109.0,5978.12,0
329.69,Credit,San Antonio,Online,26.0,Student,66.0,1671.66,0
362.04,Credit,Philadelphia,Branch,58.0,Doctor,198.0,8421.88,0
11.92,Debit,San Diego,Branch,53.0,Doctor,52.00000000000001,14611.9,0
47.42,Debit,San Diego,ATM,64.0,Doctor,28.0,8253.52,0
35.99,Debit,Miami,Branch,63.0,Retired,129.0,4489.79,0
151.19,Credit,New York,Branch,37.0,Doctor,96.0,11903.82,0
242.62000000000003,Credit,San Francisco,Online,22.0,Student,234.0,483.02000000000004,0
48.72,Debit,Virginia Beach,Branch,21.0,Student,17.0,816.0799999999999,0
43.46,Debit,Boston,ATM,25.0,Student,80.0,578.06,1
913.49125,Debit,Omaha,Online,25.0,Student,126.0,477.3,0
443.79,Debit,Las Vegas,ATM,53.0,Retired,87.0,3133.85,1
365.14,Debit,Dallas,Online,68.0,Retired,57.0,5894.09,1
757.41,Debit,Los Angeles,ATM,22.0,Student,37.0,9532.42,1
20.54,Debit,Fort Worth,Branch,51.0,Engineer,72.0,5327.03,1
475.35999999999996,Debit,Phoenix,ATM,34.0,Engineer,105.0,2000.6,0
34.74,Debit,San Francisco,ATM,56.0,Retired,24.0,6827.57,0
689.54,Debit,Oklahoma City,Branch,27.0,Student,93.0,1633.76,0
211.18,Debit,Washington,ATM,73.0,Retired,90.0,4069.1699999999996,0
211.36,Credit,Fort Worth,Branch,51.0,Engineer,286.0,7943.469999999999,1
744.41,Credit,Houston,Online,39.0,Engineer,107.0,8842.47,1
61.43,Debit,Phoenix,Online,24.0,Student,170.0,1882.77,0
167.44,Debit,Mesa,Branch,37.0,Doctor,82.0,12526.71,0
361.46,Debit,Nashville,Online,21.0,Student,83.0,4737.84,0
378.85,Debit,Virginia Beach,Branch,78.0,Retired,126.0,2300.53,0
241.11,Debit,Columbus,Branch,30.0,Doctor,55.0,12385.05,1
131.93,Credit,Fort Worth,Branch,31.0,Engineer,13.0,4547.06,1
20.28,Debit,Oklahoma City,Online,36.0,Engineer,213.0,2047.83,0
415.88,Debit,San Diego,Branch,70.0,Doctor,170.0,10008.33,0
49.99,Debit,Omaha,ATM,62.0,Retired,139.0,2299.64,0
913.49125,Debit,Denver,Online,27.0,Student,153.0,243.92,1
100.66,Debit,Dallas,Branch,50.0,Doctor,144.0,14473.33,1
485.5400000000001,Debit,Louisville,Online,19.0,Student,148.0,1533.32,1
321.15,Debit,Los Angeles,Branch,46.0,Doctor,179.0,7005.05,1
711.3,Debit,San Jose,Branch,21.0,Student,51.00000000000001,955.4,0
12.23,Debit,Houston,ATM,42.0,Engineer,139.0,7844.880000000001,1
350.94,Debit,Colorado Springs,ATM,20.0,Student,64.0,221.56,1
301.85,Debit,Columbus,Online,54.0,Engineer,25.000000000000004,6586.19,1
29.339999999999996,Debit,Louisville,Online,65.0,Retired,30.0,3944.82,1
231.71,Debit,Raleigh,Branch,27.0,Student,148.0,1127.98,0
179.43,Debit,Oklahoma City,ATM,58.0,Retired,244.0,2626.63,0
36.71,Debit,Jacksonville,Branch,48.0,Doctor,55.0,6459.38,1
138.12,Credit,Los Angeles,Branch,53.0,Doctor,281.0,1649.69,1
233.24,Debit,Louisville,ATM,33.0,Engineer,72.0,6939.23,1
609.14,Debit,Tucson,ATM,39.0,Engineer,177.0,9033.87,0
436.64,Debit,Los Angeles,Branch,31.0,Doctor,111.0,14365.18,1
870.43,Debit,Los Angeles,Branch,29.0,Doctor,55.0,10115.18,1
354.4,Debit,Chicago,ATM,74.0,Retired,128.0,7358.65,1
22.63,Debit,Kansas City,Online,53.0,Engineer,112.0,4438.03,1
182.19,Debit,Mesa,Branch,26.0,Student,53.00000000000001,1176.1,0
126.80999999999999,Debit,Philadelphia,Branch,26.0,Engineer,290.0,5427.98,0
288.17,Debit,Virginia Beach,Online,37.0,Engineer,50.00000000000001,3653.11,0
118.77,Debit,Atlanta,Branch,55.0,Engineer,123.0,2104.82,1
651.82,Debit,Indianapolis,ATM,21.0,Student,166.0,1802.77,1
66.65,Debit,Detroit,ATM,37.0,Engineer,33.0,3559.96,1
98.53,Debit,Denver,Branch,69.0,Retired,166.0,3564.8,1
138.95,Debit,Washington,Online,71.0,Retired,30.0,6752.92,0
33.89,Debit,Nashville,Branch,26.0,Student,177.0,1444.75,0
23.71,Debit,Atlanta,Branch,58.0,Doctor,164.0,10788.89,1
913.49125,Debit,San Antonio,Online,55.0,Engineer,238.0,2235.7,0
26.06,Debit,San Diego,ATM,65.0,Doctor,283.0,12893.63,0
17.07,Debit,Los Angeles,Branch,27.0,Engineer,44.0,2798.15,1
703.89,Debit,San Antonio,Online,46.0,Engineer,61.99999999999999,3583.67,0
913.49125,Debit,Houston,ATM,47.0,Engineer,155.0,2120.8,1
26.55,Debit,Houston,ATM,77.0,Retired,228.0,3085.38,1
147.4,Debit,San Jose,Branch,42.0,Engineer,259.0,6797.71,0
202.11,Debit,Memphis,ATM,27.0,Student,18.0,746.47,0
308.42,Debit,Nashville,Branch,75.0,Retired,39.0,5427.81,0
11.18,Debit,Miami,ATM,53.0,Engineer,144.0,7467.300000000001,0
294.15,Debit,Fresno,Online,38.0,Engineer,136.0,6362.16,1
29.58,Debit,Colorado Springs,Branch,54.0,Engineer,121.0,8345.26,1
139.45,Debit,Boston,Online,27.0,Student,30.999999999999996,1305.76,1
432.63,Debit,Colorado Springs,ATM,29.0,Doctor,137.0,13648.36,1
131.43,Debit,Charlotte,Online,43.0,Doctor,65.0,1337.5,1
516.72,Debit,Mesa,ATM,42.0,Engineer,128.0,2015.6900000000003,0
121.82,Debit,Colorado Springs,Online,69.0,Doctor,123.0,8354.54,1
374.5,Credit,San Francisco,Branch,26.0,Student,178.0,1671.51,0
166.13,Debit,Omaha,ATM,68.0,Doctor,227.0,11822.53,0
626.9,Debit,Chicago,ATM,23.0,Student,146.0,587.1099999999999,1
466.85,Debit,Austin,Branch,56.0,Retired,165.0,5422.53,1
788.84,Debit,Phoenix,Online,58.0,Retired,231.0,1913.73,0
873.65,Credit,Oklahoma City,Online,37.0,Doctor,59.00000000000001,12139.83,0
525.28,Debit,Colorado Springs,ATM,69.0,Retired,134.0,4693.6,1
110.17,Debit,Raleigh,ATM,30.0,Engineer,137.0,464.2,0
632.69,Debit,Denver,ATM,80.0,Retired,75.99999999999999,4363.74,1
124.35,Debit,Oklahoma City,ATM,72.0,Retired,90.0,3319.76,0
43.85,Debit,Fresno,ATM,62.0,Retired,122.0,4356.98,1
